,seriesID,year,period,month,value,footnotes,netchg_1mo,netchg_3mo,netchg_6mo,netchg_12mo,pctchg_1mo,pctchg_3mo,pctchg_6mo,pctchg_12mo
0,CES0000000001,2025,M09,September,159626,preliminary,119,187,351,1312,0.1,0.1,0.2,0.8
1,CES0000000001,2025,M08,August,159507,preliminary,-4,55,352,1433,0.0,0.0,0.2,0.9
2,CES0000000001,2025,M07,July,159511,,72,78,458,1508,0.0,0.0,0.3,1.0
3,CES0000000001,2025,M06,June,159439,,-13,164,497,1524,0.0,0.1,0.3,1.0
4,CES0000000001,2025,M05,May,159452,,19,297,833,1624,0.0,0.2,0.5,1.0
5,CES0000000001,2025,M04,April,159433,,158,380,1075,1798,0.1,0.2,0.7,1.1
6,CES0000000001,2025,M03,March,159275,,120,333,961,1758,0.1,0.2,0.6,1.1
7,CES0000000001,2025,M02,February,159155,,102,536,1081,1884,0.1,0.3,0.7,1.2
8,CES0000000001,2025,M01,January,159053,,111,695,1050,2004,0.1,0.4,0.7,1.3
9,CES0000000001,2024,M12,December,158942,,323,628,1027,2012,0.2,0.4,0.7,1.3
10,CES0000000001,2024,M11,November,158619,,261,545,791,1958,0.2,0.3,0.5,1.2
11,CES0000000001,2024,M10,October,158358,,44,355,723,1838,0.0,0.2,0.5,1.2
12,CES0000000001,2024,M09,September,158314,,240,399,797,1980,0.2,0.3,0.5,1.3
13,CES0000000001,2024,M08,August,158074,,71,246,803,1898,0.0,0.2,0.5,1.2
14,CES0000000001,2024,M07,July,158003,,88,368,954,1984,0.1,0.2,0.6,1.3
15,CES0000000001,2024,M06,June,157915,,87,398,985,2044,0.1,0.3,0.6,1.3
16,CES0000000001,2024,M05,May,157828,,193,557,1167,2214,0.1,0.4,0.7,1.4
17,CES0000000001,2024,M04,April,157635,,118,586,1115,2248,0.1,0.4,0.7,1.4
18,CES0000000001,2024,M03,March,157517,,246,587,1183,2346,0.2,0.4,0.8,1.5
19,CES0000000001,2024,M02,February,157271,,222,610,1095,2185,0.1,0.4,0.7,1.4
20,CES0000000001,2024,M01,January,157049,,119,529,1030,2269,0.1,0.3,0.7,1.5
21,LNS14000000,2025,M09,September,4.4,,0.1,0.3,0.2,0.3,2.3,7.3,4.8,7.3
22,LNS14000000,2025,M08,August,4.3,,0.1,0.1,0.2,0.1,2.4,2.4,4.9,2.4
23,LNS14000000,2025,M07,July,4.2,,0.1,0.0,0.2,0.0,2.4,0.0,5.0,0.0
